population,velocity,mae
Q1,x,0.0001503933576087419
Q2,x,0.00012551392270869916
Q2,x,0.0001033373083897515
Total,x,9.614446690675781e-05
Q1,y,0.00017958312822086825
Q2,y,0.00015037021418837964
Q2,y,0.00012158431759021111
Total,y,0.00011043694451338628
Q1,z,0.00015257205736659651
Q2,z,0.0001309311179910672
Q2,z,0.0001081223148285121
Total,z,9.838232596508725e-05
